QUESTION,ANSWER_CHOICES,ANSWERS,EXPLANATIONS
A company is building an application to track athlete performance using an Amazon DynamoDB table. Each item in the table is identified by a partition key (`user_id`) and a sort key (`sport_name`). The table design is shown below. (Note: Not all table attributes are shown) A Developer is asked to write a leaderboard application to display the top performers (`user_id`) based on the score for each `sport_name`. What process will allow the Developer to extract results MOST efficiently from the DynamoDB table?,"[""Use a DynamoDB query operation with the key attributes of `user_id` and `sport_name` and order the results based on the score attribute."", ""Create a global secondary index with a partition key of `sport_name` and a sort key of score, and get the results."", ""Use a DynamoDB scan operation to retrieve scores and `user_id` based on `sport_name`, and order the results based on the score attribute."", ""Create a local secondary index with a primary key of `sport_name` and a sort key of score and get the results based on the score attribute.""]","[""Create a global secondary index with a partition key of `sport_name` and a sort key of score, and get the results.""]","```json
{
    ""Use a DynamoDB query operation with the key attributes of `user_id` and `sport_name` and order the results based on the score attribute."": ""This choice is incorrect because a query operation on DynamoDB requires specifying the partition key and optionally a sort key. In this case, querying with `user_id` and `sport_name` would not allow efficient retrieval of top performers across all users for a specific sport. Additionally, DynamoDB does not support ordering results based on non-key attributes directly in a query operation."",
    ""Create a global secondary index with a partition key of `sport_name` and a sort key of score, and get the results."": ""This choice is correct because creating a global secondary index (GSI) with `sport_name` as the partition key and `score` as the sort key allows efficient querying of top performers for each sport. The GSI enables sorting by score within each sport, making it possible to retrieve the top scores efficiently. This approach aligns with AWS best practices for optimizing read operations in DynamoDB."",
    ""Use a DynamoDB scan operation to retrieve scores and `user_id` based on `sport_name`, and order the results based on the score attribute."": ""This choice is incorrect because a scan operation reads every item in the table, which is inefficient and costly, especially for large datasets. Additionally, ordering results based on a non-key attribute like `score` would require post-processing outside of DynamoDB, leading to increased latency and resource usage."",
    ""Create a local secondary index with a primary key of `sport_name` and a sort key of score and get the results based on the score attribute."": ""This choice is incorrect because a local secondary index (LSI) can only be created with the same partition key as the base table, which is `user_id` in this case. Since the requirement is to query based on `sport_name`, an LSI is not suitable. LSIs are also limited to 10GB per partition, which can be restrictive for large datasets.""
}
```"
A Developer is creating a mobile application that will not require users to log in. What is the MOST efficient method to grant users access to AWS resources?,"[""Use an identity provider to securely authenticate with the application."", ""Create an AWS Lambda function to create an IAM user when a user accesses the application."", ""Create credentials using AWS KMS and apply these credentials to users when using the application."", ""Use Amazon Cognito to associate unauthenticated users with an IAM role that has limited access to resources.""]","[""Use Amazon Cognito to associate unauthenticated users with an IAM role that has limited access to resources.""]","```json
{
    ""Use an identity provider to securely authenticate with the application."": ""This choice is incorrect because the question specifies that the application will not require users to log in. Using an identity provider implies some form of authentication, which contradicts the requirement of not requiring login. Identity providers are typically used when you need to authenticate users and manage their identities, which is not needed in this scenario."",
    ""Create an AWS Lambda function to create an IAM user when a user accesses the application."": ""This choice is incorrect because creating an IAM user for each application user is not scalable or efficient. IAM users are intended for managing access for individuals or services that need long-term access to AWS resources. Creating a new IAM user for each application user would lead to unnecessary complexity and potential security risks, as well as hitting service limits quickly."",
    ""Create credentials using AWS KMS and apply these credentials to users when using the application."": ""This choice is incorrect because AWS KMS is used for managing encryption keys, not for creating user credentials. Applying KMS credentials to users is a misunderstanding of KMS's purpose. KMS is designed for encrypting and decrypting data, not for user authentication or authorization."",
    ""Use Amazon Cognito to associate unauthenticated users with an IAM role that has limited access to resources."": ""This choice is correct because Amazon Cognito provides a feature called 'unauthenticated identities' which allows you to grant access to AWS resources without requiring users to log in. This is achieved by associating unauthenticated users with an IAM role that specifies what resources they can access. This approach is efficient and aligns with the requirement of not requiring user login while still controlling access to resources. It is a best practice for managing access in scenarios where user authentication is not needed.""
}
```"
An application running on Amazon EC2 instances must access objects within an Amaon S3 busket that are encrypted using server-side encryption using AWS KMS encryption keys (SSE-KMS). The application must have access to the customer master key (CMK) to decrypt the objects. Which combination of steps will grant the application access? (Select TWO),"[""Write an S3 bucket policy that grants the bucket access to the key."", ""Grant access to the key in the IAM EC2 role attached to the application's EC2 instances."", ""Write a key policy that enables IAM policies to grant access to the key."", ""Grant access to the key in the S3 bucket's ACL."", ""Create a Systems Manager parameter that exposes the KMS key to the EC2 instances.""]","[""Write an S3 bucket policy that grants the bucket access to the key."", ""Grant access to the key in the IAM EC2 role attached to the application's EC2 instances.""]","```json
{
    ""Write an S3 bucket policy that grants the bucket access to the key."": ""Incorrect. S3 bucket policies control access to the objects in the bucket, not to the KMS keys themselves. Access to KMS keys is managed through key policies and IAM policies, not bucket policies."",
    ""Grant access to the key in the IAM EC2 role attached to the application's EC2 instances."": ""Correct. Granting access to the KMS key in the IAM role associated with the EC2 instances allows the application running on those instances to decrypt the objects stored in S3. This is a common practice to ensure that the application has the necessary permissions to use the KMS key for decryption."",
    ""Write a key policy that enables IAM policies to grant access to the key."": ""Correct. A key policy is essential for granting permissions to use a KMS key. By enabling IAM policies to grant access, you allow IAM roles and users to use the key according to the permissions specified in their IAM policies. This is a best practice for managing KMS key permissions."",
    ""Grant access to the key in the S3 bucket's ACL."": ""Incorrect. S3 bucket ACLs control access to the bucket and its objects, not to KMS keys. KMS key permissions must be managed through key policies and IAM policies, not through S3 bucket ACLs."",
    ""Create a Systems Manager parameter that exposes the KMS key to the EC2 instances."": ""Incorrect. Systems Manager parameters are used for storing configuration data and secrets, not for granting access to KMS keys. Access to KMS keys should be managed through IAM roles and key policies, not by exposing keys through Systems Manager.""
}
```"
What does an Amazon SQS delay queue accomplish?,"[""Messages are hidden for a configurable amount of time when they are first added to the queue."", ""Messages are hidden for a configurable amount of time after they are consumed from the queue."", ""The consumer can poll the queue for a configurable amount of time before retrieving a message."", ""Message cannot be deleted for a configurable amount of time after they are consumed from the queue.""]","[""Messages are hidden for a configurable amount of time when they are first added to the queue.""]","```json
{
    ""Messages are hidden for a configurable amount of time when they are first added to the queue."": ""This choice is correct because an Amazon SQS delay queue allows you to postpone the delivery of new messages to consumers for a specified amount of time. This is useful in scenarios where you want to delay processing of messages, such as when you need to batch process messages or when you want to allow time for other processes to complete before processing the message. According to AWS documentation, this delay is configured at the queue level and applies to all messages added to the queue."",
    ""Messages are hidden for a configurable amount of time after they are consumed from the queue."": ""This choice is incorrect because Amazon SQS does not provide a feature to hide messages after they are consumed. Once a message is consumed and processed, it is typically deleted from the queue. The concept of hiding messages after consumption is not applicable to SQS. Instead, SQS provides a visibility timeout feature that temporarily hides a message after it is read from the queue, preventing other consumers from processing it until the timeout expires."",
    ""The consumer can poll the queue for a configurable amount of time before retrieving a message."": ""This choice is incorrect because it describes the long polling feature of SQS, which is unrelated to delay queues. Long polling allows consumers to wait for a specified duration for messages to arrive in the queue, reducing the number of empty responses and lowering costs. However, it does not involve delaying the visibility of messages when they are first added to the queue."",
    ""Message cannot be deleted for a configurable amount of time after they are consumed from the queue."": ""This choice is incorrect because SQS does not have a feature that prevents messages from being deleted after consumption. Once a message is processed, it is typically deleted by the consumer using the DeleteMessage API call. The delay queue feature does not affect the deletion process; it only delays the initial visibility of messages when they are added to the queue.""
}
```"
"A company has multiple Developers located across the globe who are updating code incrementally for a development project. When Developers upload code concurrently, internet connectivity is slow and it is taking a long time to upload code for deployment in AWS Elastic Beanstalk. Which step will result in minimized upload and deployment time with the LEAST amount of administrative effort?","[""Allow the Developers to upload the code to an Amazon S3 bucket, and deploy it directly to Elastic Beanstalk."", ""Allow the Developers to upload the code to a central FTP server to deploy the application to Elastic Beanstalk."", ""Create an AWS CodeCommit repository, allow the Developers to commit code to it, and then directly deploy the code to Elastic Beanstalk."", ""Create a code repository on an Amazon EC2 instance so that all Developers can update the code, and deploy the application from the instance to Elastic Beanstalk.""]","[""Create an AWS CodeCommit repository, allow the Developers to commit code to it, and then directly deploy the code to Elastic Beanstalk.""]","```json
{
    ""Allow the Developers to upload the code to an Amazon S3 bucket, and deploy it directly to Elastic Beanstalk."": ""This option is incorrect because while Amazon S3 can be used to store application versions for Elastic Beanstalk, it does not address the issue of concurrent code updates by multiple developers. S3 is primarily a storage service and does not provide version control or collaborative features needed for code development."",
    ""Allow the Developers to upload the code to a central FTP server to deploy the application to Elastic Beanstalk."": ""This option is incorrect because using an FTP server for code uploads is outdated and lacks the collaborative and version control features necessary for a team of developers. FTP does not integrate well with AWS services for deployment and does not minimize upload times effectively."",
    ""Create an AWS CodeCommit repository, allow the Developers to commit code to it, and then directly deploy the code to Elastic Beanstalk."": ""This option is correct because AWS CodeCommit is a fully managed source control service that makes it easy for teams to collaborate on code in a secure and scalable manner. It integrates well with AWS Elastic Beanstalk, allowing for streamlined deployments. CodeCommit supports Git, which is a widely used version control system that helps manage code changes efficiently, making it ideal for teams of developers working concurrently."",
    ""Create a code repository on an Amazon EC2 instance so that all Developers can update the code, and deploy the application from the instance to Elastic Beanstalk."": ""This option is incorrect because hosting a code repository on an EC2 instance requires additional administrative effort to manage the server, ensure security, and maintain uptime. It does not provide the scalability and integration benefits of a managed service like AWS CodeCommit, and it does not inherently solve the problem of slow internet connectivity or concurrent updates.""
}
```"
"A company recently migrated its web, application and NoSQL database tiers to AWS. The company is using Auto Scaling to scale the web and application tiers. More than 95 percent of the Amazon DynamoDB requests are repeated read requests. How can the DynamoDB NoSQL tier be scaled up to cache these repeated requests?","[""Amazon EMR."", ""Amazon DynamoDB Accelerator."", ""Amazon SQS."", ""Amazon CloudFront.""]","[""Amazon DynamoDB Accelerator.""]","```json
{
    ""Amazon EMR."": ""Amazon EMR (Elastic MapReduce) is a service for processing and analyzing large datasets using frameworks like Hadoop and Spark. It is not designed for caching repeated read requests from a database. Therefore, it is not suitable for scaling up the DynamoDB NoSQL tier to cache repeated requests."",
    ""Amazon DynamoDB Accelerator."": ""Amazon DynamoDB Accelerator (DAX) is a fully managed, highly available, in-memory cache for DynamoDB that can reduce response times from milliseconds to microseconds for read-heavy and bursty workloads. It is specifically designed to handle repeated read requests efficiently, making it the correct choice for caching repeated requests in the DynamoDB NoSQL tier. This aligns with AWS best practices for optimizing performance and cost-efficiency in read-heavy applications."",
    ""Amazon SQS."": ""Amazon SQS (Simple Queue Service) is a message queuing service that enables decoupling of application components. It is not designed for caching database requests or improving read performance. Therefore, it is not applicable for scaling the DynamoDB NoSQL tier to cache repeated read requests."",
    ""Amazon CloudFront."": ""Amazon CloudFront is a content delivery network (CDN) service that accelerates the delivery of static and dynamic web content. While it can cache content at edge locations, it is not designed to cache database requests or improve read performance for DynamoDB. Thus, it is not suitable for caching repeated read requests from DynamoDB.""
}
```"
"A Development team is working on a case management solution that allows medical claims to be processed and reviewed. Users log in to provide information related to their medical and financial situations. As part of the application, sensitive documents such as medical records, medical imaging, bank statements, and receipts are uploaded to Amazon S3. All documents must be securely transmitted and stored. All access to the documents must be recorded for auditing. What is the MOST secure approach?","[""Use S3 default encryption using Advanced Encryption Standard-256 (AES-256) on the destination bucket."", ""Use Amazon Cognito for authorization and authentication to ensure the security of the application and documents."", ""Use AWS Lambda to encrypt and decrypt objects as they are placed into the S3 bucket."", ""Use client-side encryption/decryption with Amazon S3 and AWS KMS.""]","[""Use client-side encryption/decryption with Amazon S3 and AWS KMS.""]","```json
{
    ""Use S3 default encryption using Advanced Encryption Standard-256 (AES-256) on the destination bucket."": ""This option is incorrect because while S3 default encryption ensures that data is encrypted at rest, it does not provide encryption during transmission. The question specifies that documents must be securely transmitted and stored, which requires encryption both in transit and at rest. Additionally, S3 server-side encryption does not address the requirement for client-side encryption, which is often considered more secure as it allows the client to manage encryption keys."",
    ""Use Amazon Cognito for authorization and authentication to ensure the security of the application and documents."": ""This option is incorrect because Amazon Cognito is primarily used for user authentication and authorization, not for encrypting data. While Cognito can help secure access to the application by managing user sign-up and sign-in, it does not directly address the requirement for encrypting documents uploaded to S3. The question focuses on the secure transmission and storage of documents, which requires encryption solutions."",
    ""Use AWS Lambda to encrypt and decrypt objects as they are placed into the S3 bucket."": ""This option is incorrect because using AWS Lambda for encryption and decryption introduces unnecessary complexity and potential latency. Lambda functions would need to be triggered for every upload and download, which could increase costs and processing time. Additionally, this approach does not inherently provide secure transmission of data. AWS provides more efficient and integrated solutions for encryption, such as client-side encryption with AWS KMS."",
    ""Use client-side encryption/decryption with Amazon S3 and AWS KMS."": ""This option is correct because client-side encryption ensures that data is encrypted before it is transmitted to S3, providing security both in transit and at rest. AWS KMS (Key Management Service) can be used to manage encryption keys securely, allowing clients to encrypt data before uploading it to S3. This approach meets the requirement for secure transmission and storage of sensitive documents. Client-side encryption is a best practice for handling sensitive data, as it gives the client control over the encryption process and keys.""
}
```"
A company has an internet-facing application that uses Web Identity Federation to obtain a temporary credential from AWS Security Token Service (AWS STS). The app then uses the token to access AWS services. Review the following response: Based on the response displayed what permissions are associated with the call from the application?,"[""Permissions associated with the role AROACLKWSDQRAOEXAMPLE:app1."", ""Permissions associated with the default role used when the AWS service was built."", ""Permission associated with the IAM principal that owns the AccessKeyID ASgeIAIOSFODNN7EXAMPLE."", ""Permissions associated with the account that owns the AWS service.""]","[""Permission associated with the IAM principal that owns the AccessKeyID ASgeIAIOSFODNN7EXAMPLE.""]","{""Permissions associated with the role AROACLKWSDQRAOEXAMPLE:app1."": ""This choice is incorrect because the question specifies that the application uses Web Identity Federation to obtain temporary credentials from AWS STS. In such a scenario, the permissions are associated with the IAM principal that owns the AccessKeyID, not a specific role like AROACLKWSDQRAOEXAMPLE:app1. Web Identity Federation allows users to assume a role, but the permissions are tied to the IAM principal that is authenticated."", ""Permissions associated with the default role used when the AWS service was built."": ""This choice is incorrect because AWS services do not have a 'default role' that is used when they are built. Permissions are explicitly defined by the IAM roles or policies associated with the service or application. In the context of Web Identity Federation, the permissions are tied to the IAM principal that owns the AccessKeyID."", ""Permission associated with the IAM principal that owns the AccessKeyID ASgeIAIOSFODNN7EXAMPLE."": ""This choice is correct because when using Web Identity Federation, the application exchanges the identity token for temporary AWS credentials from AWS STS. These temporary credentials are associated with the IAM principal that owns the AccessKeyID, which defines the permissions for accessing AWS services. This is a common practice to ensure secure and temporary access to AWS resources."", ""Permissions associated with the account that owns the AWS service."": ""This choice is incorrect because permissions are not associated with the AWS account itself but rather with IAM roles or users within the account. The account ownership does not determine the permissions for accessing AWS services. In the context of Web Identity Federation, permissions are tied to the IAM principal associated with the temporary credentials.""}"
"A Developer is using AWS CLI, but when running list commands on a large number of resources, it is timing out. What can be done to avoid this time-out?","[""Use pagination."", ""Use shorthand syntax."", ""Use parameter values."", ""Use quoting strings.""]","[""Use pagination.""]","{""Use pagination."": ""Pagination is the correct solution for handling timeouts when listing a large number of resources using AWS CLI. AWS CLI supports pagination, which breaks down the output into smaller, manageable chunks, preventing timeouts and making it easier to process large datasets. This is a best practice when dealing with AWS services that return large amounts of data, such as S3 or EC2. Refer to AWS CLI documentation on pagination for more details."", ""Use shorthand syntax."": ""Shorthand syntax is a way to provide input parameters in a compact format on the command line. It does not address the issue of timeouts when listing large numbers of resources. Therefore, it is not a solution to the problem described in the question."", ""Use parameter values."": ""Using parameter values involves specifying inputs for AWS CLI commands. While it is essential for executing commands, it does not solve the problem of timeouts due to large datasets. Parameter values do not affect the size of the output or the likelihood of a timeout."", ""Use quoting strings."": ""Quoting strings is a technique used in the command line to ensure that strings with spaces or special characters are interpreted correctly. It does not impact the performance or timeout behavior of AWS CLI commands when listing resources. Therefore, it is not relevant to solving the timeout issue.""}"
Where can PortMapping be defined when launching containers in Amazon ECS?,"[""Security groups."", ""Amazon Elastic Container Registry (Amzon ECR)."", ""Container agent."", ""Task definition.""]","[""Task definition.""]","{""Security groups."": ""Security groups in AWS are used to control inbound and outbound traffic to resources like EC2 instances, not for defining port mappings for containers. They act as virtual firewalls at the instance level, not at the container level. Therefore, they are not used to define port mappings in Amazon ECS."", ""Amazon Elastic Container Registry (Amzon ECR)."": ""Amazon ECR is a fully managed Docker container registry that makes it easy to store, manage, and deploy Docker container images. It does not handle the configuration of container runtime settings such as port mappings, which are defined in the task definition."", ""Container agent."": ""The Amazon ECS container agent runs on each infrastructure resource within an ECS cluster and is responsible for communicating with the ECS service. However, it does not define port mappings; it merely executes tasks as specified in the task definition."", ""Task definition."": ""Task definitions in Amazon ECS are used to specify the container configurations, including port mappings. They define how containers should be launched, including details such as the Docker image to use, CPU and memory requirements, and network settings like port mappings. This is the correct place to define port mappings for containers in ECS.""}"
"An organization is storing large files in Amazon S3, and is writing a web application to display meta-data about the files to end-users. Based on the metadata a user selects an object to download. The organization needs a mechanism to index the files and provide single-digit millisecond latency retrieval for the metadata. What AWS service should be used to accomplish this?","[""Amazon DynamoDB."", ""Amazon EC2."", ""AWS Lambda."", ""Amazon RDS.""]","[""Amazon DynamoDB.""]","```json
{
    ""Amazon DynamoDB."": ""Amazon DynamoDB is the correct choice because it is a fully managed NoSQL database service that provides single-digit millisecond latency, which is ideal for indexing and retrieving metadata quickly. DynamoDB is designed for high availability and scalability, making it suitable for applications that require fast access to data. It is commonly used for scenarios where quick lookups are necessary, such as indexing metadata for files stored in S3."",
    ""Amazon EC2."": ""Amazon EC2 is incorrect for this use case because it is a service that provides resizable compute capacity in the cloud, not a database service. While EC2 could theoretically host a database, it would not inherently provide the single-digit millisecond latency and ease of management that DynamoDB offers. Using EC2 for this purpose would require additional setup and maintenance of a database system, which is not optimal for this scenario."",
    ""AWS Lambda."": ""AWS Lambda is incorrect because it is a compute service that runs code in response to events and automatically manages the compute resources required by that code. While Lambda can be used to process metadata or trigger actions based on events, it is not designed for storing or retrieving data with low latency. It would not serve as an indexing mechanism for metadata retrieval."",
    ""Amazon RDS."": ""Amazon RDS is incorrect because it is a managed relational database service that provides scalability and ease of use for relational databases. While RDS can be used to store metadata, it typically does not provide the same level of performance in terms of single-digit millisecond latency as DynamoDB. RDS is better suited for applications that require complex queries and transactions, which are not necessary for simple metadata indexing.""
}
```"
"While developing an application that runs on Amazon EC2 in an Amazon VPC, a Developer identifies the need for centralized storage of application-level logs. Which AWS service can be used to securely store these logs?","[""Amazon EC2 VPC Flow Logs."", ""Amazon CloudWatch Logs."", ""Amazon CloudSearch."", ""AWS CloudTrail""]","[""Amazon CloudWatch Logs.""]","```json
{
    ""Amazon EC2 VPC Flow Logs."": ""Amazon EC2 VPC Flow Logs are used to capture information about the IP traffic going to and from network interfaces in a VPC. They are not designed for application-level logging. This choice is incorrect because it focuses on network traffic rather than application logs."",
    ""Amazon CloudWatch Logs."": ""Amazon CloudWatch Logs is the correct choice because it is designed to monitor, store, and access log files from Amazon EC2 instances, AWS CloudTrail, and other sources. It allows developers to centralize logs from multiple sources and provides features such as log retention, filtering, and analysis. This service is ideal for securely storing application-level logs, as it integrates well with other AWS services and provides robust security features."",
    ""Amazon CloudSearch."": ""Amazon CloudSearch is a managed search service that makes it easy to set up, manage, and scale a search solution for a website or application. It is not intended for log storage or analysis. This choice is incorrect because it is focused on search capabilities rather than log management."",
    ""AWS CloudTrail"": ""AWS CloudTrail is a service that enables governance, compliance, and operational and risk auditing of your AWS account. It records AWS API calls and related events for your account and delivers log files to an Amazon S3 bucket. While it provides logging of API activity, it is not designed for application-level logs. This choice is incorrect because it focuses on API call logging rather than application logs.""
}
```"
"A stock market monitoring application uses Amazon Kinesis for data ingestion. During simulated tests of peak data rates, the Kinesis stream cannot keep up with the incoming data. What step will allow Kinesis to accommodate the traffic during peak hours?","[""Install the Kinesis Producer Library (KPL) for ingesting data into the stream."", ""Reduce the data retention period to allow for more data ingestion using. DecreaseStreamRetentionPeriod."", ""Increase the shard count of the stream using UpdateShardCount."", ""Ingest multiple records into the stream in a single call using PutRecords.""]","[""Install the Kinesis Producer Library (KPL) for ingesting data into the stream.""]","```json
{
    ""Install the Kinesis Producer Library (KPL) for ingesting data into the stream."": ""This choice is incorrect. While the Kinesis Producer Library (KPL) can help optimize data ingestion by batching records and improving throughput, it does not directly address the issue of insufficient shard capacity. The problem described is that the stream cannot keep up with the data rate, which is typically resolved by increasing the number of shards."",
    ""Reduce the data retention period to allow for more data ingestion using. DecreaseStreamRetentionPeriod."": ""This choice is incorrect. Reducing the data retention period does not affect the ability of a Kinesis stream to ingest data. Data retention is related to how long data is stored in the stream, not the rate at which data can be ingested. The issue of handling peak data rates is related to the number of shards."",
    ""Increase the shard count of the stream using UpdateShardCount."": ""This choice is correct. Increasing the shard count is the appropriate solution for handling higher data ingestion rates. Each shard in a Kinesis stream has a fixed capacity for data ingestion and processing. By increasing the number of shards, you increase the overall capacity of the stream to handle more data during peak hours. This is a common practice to scale Kinesis streams to meet varying data rates."",
    ""Ingest multiple records into the stream in a single call using PutRecords."": ""This choice is incorrect. While using PutRecords can improve efficiency by reducing the number of API calls, it does not increase the capacity of the stream itself. The underlying issue of the stream not keeping up with data rates is related to shard capacity, which is not addressed by simply batching records.""
}
```"
A company has an AWS CloudFormation template that is stored as a single file. The template is able to launch and create a full infrastructure stack. Which best practice would increase the maintainability of the template?,"[""Use nested stacks for common template patterns."", ""Embed credentials to prevent typos."", ""Remove mappings to decrease the number of variables."", ""Use `AWS::Include` to reference publicly-hosted template files.""]","[""Use nested stacks for common template patterns.""]","```json
{
    ""Use nested stacks for common template patterns."": ""This choice is correct because using nested stacks in AWS CloudFormation is a best practice for improving the maintainability and organization of templates. Nested stacks allow you to break down a complex template into smaller, reusable components, making it easier to manage and update individual parts of the infrastructure. This approach also promotes reusability and reduces duplication of code, which aligns with AWS best practices for infrastructure as code. According to AWS documentation, nested stacks are particularly useful for managing common patterns and components that are used across multiple stacks."",
    ""Embed credentials to prevent typos."": ""This choice is incorrect because embedding credentials directly into CloudFormation templates is a security risk and goes against AWS best practices. AWS recommends using AWS Identity and Access Management (IAM) roles and policies to manage access and permissions securely. Hardcoding credentials can lead to accidental exposure and potential security breaches. Instead, sensitive information should be managed using AWS Secrets Manager or AWS Systems Manager Parameter Store."",
    ""Remove mappings to decrease the number of variables."": ""This choice is incorrect because removing mappings is not a recommended practice for improving maintainability. Mappings in CloudFormation templates provide a way to define conditional values that can be reused throughout the template. They help in managing configuration differences across environments or regions without hardcoding values. Removing mappings would reduce flexibility and make the template less adaptable to changes, which is contrary to the goal of maintainability."",
    ""Use `AWS::Include` to reference publicly-hosted template files."": ""This choice is incorrect because while `AWS::Include` can be used to include external template snippets, it is not the best practice for improving maintainability in the context of the given scenario. `AWS::Include` is useful for including reusable snippets, but it requires the external files to be publicly accessible, which can introduce security concerns. Additionally, it does not inherently improve the organization or modularity of a complex template as effectively as nested stacks do.""
}
```"
"An on-premises application makes repeated calls to store files to Amazon S3. As usage of the application has increased, `LimitExceeded` errors are being logged. What should be changed to fix this error?","[""Implement exponential backoffs in the application."", ""Load balance the application to multiple servers."", ""Move the application to Amazon EC2."", ""Add a one second delay to each API call.""]","[""Implement exponential backoffs in the application.""]","```json
{
    ""Implement exponential backoffs in the application."": ""This choice is correct because AWS recommends implementing exponential backoff for retrying requests that fail with certain error codes, such as 'LimitExceeded'. Exponential backoff helps to reduce the load on the service by spacing out retries, which can help mitigate throttling issues. This is a best practice for handling throttling errors when interacting with AWS services like S3, as documented in the AWS SDKs and API documentation."",
    ""Load balance the application to multiple servers."": ""This choice is incorrect because load balancing the application does not address the issue of 'LimitExceeded' errors when making API calls to S3. The error is related to the rate of API requests rather than the distribution of application load across servers. Load balancing would not reduce the frequency of API calls to S3, which is the underlying issue."",
    ""Move the application to Amazon EC2."": ""This choice is incorrect because moving the application to Amazon EC2 does not inherently solve the problem of 'LimitExceeded' errors. The error is related to the rate of S3 API requests, not the location of the application. While moving to EC2 might offer other benefits, it does not address the need to handle API request throttling."",
    ""Add a one second delay to each API call."": ""This choice is incorrect because adding a fixed delay to each API call is not an efficient or scalable solution. It does not adapt to varying levels of API request load and could unnecessarily slow down the application. Exponential backoff is a more effective strategy as it dynamically adjusts the delay based on the number of retries and the error response.""
}
```"
A company caches session information for a web application in an Amazon DynamoDB table. The company wants an automated way to delete old items from the table. What is the simplest way to do this?,"[""Write a script that deletes old records; schedule the scripts as a cron job on an Amazon EC2 instance."", ""Add an attribute with the expiration time; enable the Time To Live feature based on that attribute."", ""Each day, create a new table to hold session data; delete the previous day's table."", ""Add an attribute with the expiration time; name the attribute ItemExpiration.""]","[""Add an attribute with the expiration time; enable the Time To Live feature based on that attribute.""]","```json
{
    ""Write a script that deletes old records; schedule the scripts as a cron job on an Amazon EC2 instance."": ""This choice is incorrect because it involves managing infrastructure and writing custom code to handle the deletion of old records. This approach is not the simplest or most efficient way to manage item expiration in DynamoDB. It requires maintaining an EC2 instance, handling potential failures, and ensuring the script runs correctly, which adds operational overhead. AWS provides a built-in feature called Time To Live (TTL) that automatically deletes expired items, making this option unnecessary."",
    ""Add an attribute with the expiration time; enable the Time To Live feature based on that attribute."": ""This choice is correct because it leverages DynamoDB's built-in Time To Live (TTL) feature, which is specifically designed to automatically delete items after a specified expiration time. By adding an attribute to each item that specifies the expiration time and enabling TTL on that attribute, DynamoDB will automatically delete expired items without any additional infrastructure or code. This is a best practice for managing item expiration in DynamoDB, as it simplifies operations and reduces costs by automatically cleaning up old data."",
    ""Each day, create a new table to hold session data; delete the previous day's table."": ""This choice is incorrect because creating and deleting tables daily is not a practical or efficient solution for managing session data. It involves significant overhead in terms of table management and can lead to increased costs and complexity. Additionally, this approach does not leverage DynamoDB's capabilities for managing data expiration and is not aligned with AWS best practices for handling session data."",
    ""Add an attribute with the expiration time; name the attribute ItemExpiration."": ""This choice is incorrect because simply adding an attribute with an expiration time does not automatically delete items. While naming the attribute 'ItemExpiration' might imply its purpose, without enabling the Time To Live (TTL) feature on this attribute, DynamoDB will not automatically delete expired items. The key to using TTL is not just having an expiration attribute, but also enabling TTL on that attribute to automate the deletion process.""
}
```"
An application is expected to process many files. Each file takes four minutes to process each AWS Lambda invocation. The Lambda function does not return any important data. What is the fastest way to process all the files?,"[""First split the files to make them smaller, then process with synchronous RequestResponse Lambda invocations."", ""Make synchronous RequestResponse Lambda invocations and process the files one by one."", ""Make asynchronous Event Lambda invocations and process the files in parallel."", ""First join all the files, then process it all at once with an asynchronous Event Lambda invocation.""]","[""Make asynchronous Event Lambda invocations and process the files in parallel.""]","```json
{
    ""First split the files to make them smaller, then process with synchronous RequestResponse Lambda invocations."": ""This choice is incorrect because splitting the files to make them smaller and then processing them synchronously would add unnecessary complexity and delay. Synchronous RequestResponse invocations would require waiting for each invocation to complete before starting the next, which is inefficient when the goal is to process many files quickly. AWS Lambda is designed to handle parallel processing efficiently, and splitting files unnecessarily increases processing overhead."",
    ""Make synchronous RequestResponse Lambda invocations and process the files one by one."": ""This choice is incorrect because processing files one by one using synchronous RequestResponse invocations is not the fastest method. Synchronous invocations require waiting for each Lambda function to complete before starting the next, leading to a bottleneck. This approach does not leverage Lambda's ability to scale and handle multiple invocations in parallel, which is key to processing many files quickly."",
    ""Make asynchronous Event Lambda invocations and process the files in parallel."": ""This choice is correct because asynchronous Event Lambda invocations allow the application to process multiple files in parallel without waiting for each invocation to complete. AWS Lambda can scale to handle many concurrent executions, making this approach the fastest way to process many files. This method leverages Lambda's event-driven architecture and is a best practice for achieving high throughput in serverless applications. AWS documentation recommends using asynchronous invocations for tasks that can be parallelized and do not require immediate results."",
    ""First join all the files, then process it all at once with an asynchronous Event Lambda invocation."": ""This choice is incorrect because joining all files into one and processing them in a single Lambda invocation would exceed Lambda's execution time limit of 15 minutes if the total processing time exceeds that limit. Additionally, this approach does not take advantage of Lambda's ability to process tasks in parallel, which is crucial for optimizing speed when dealing with many files. This method would likely lead to inefficiencies and potential failures if the combined file size is too large.""
}
```"
